date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:35	147495/147495	---M--	200	added ('OK')	image/jpeg	etag:7f4edf4ddd7703c1e68444912f54340789c22e15	https://d33wubrfki0l68.cloudfront.net/69fa7946cee9c67b2db1ae6e480b04851ef045e5/87ecc/img/portfolio/temp2.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/69fa7946cee9c67b2db1ae6e480b04851ef045e5/87ecc/img/portfolio/temp2.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:36	147495/147495	---M--	200	added ('OK')	image/jpeg	etag:%2269fa7946cee9c67b2db1ae6e480b04851ef045e5-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp2.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp2.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:36	85486/85486	---M--	200	added ('OK')	image/jpeg	etag:%228d2a59d095cbf48b090f81833b86f6f917c016fb-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp3.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp3.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:39	83186/83186	---M--	200	added ('OK')	image/jpeg	etag:9c3fe2c916913f546f6fd453c0e37e22af08aee8	https://d33wubrfki0l68.cloudfront.net/ea898b148317d3eea710719bc3810d682d67328c/87ced/img/portfolio/temp4.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/ea898b148317d3eea710719bc3810d682d67328c/87ced/img/portfolio/temp4.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:48	54514/54514	---M--	200	added ('OK')	image/jpeg	etag:7593acc19cc19cff4a7c1ca139219a7f15781e8e	https://d33wubrfki0l68.cloudfront.net/1b0a627e6ef98adc22b2adc78298aeaab92b1621/5ed03/img/portfolio/temp6.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/1b0a627e6ef98adc22b2adc78298aeaab92b1621/5ed03/img/portfolio/temp6.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:48	70914/70914	---M--	200	added ('OK')	image/jpeg	etag:9bec752e718603146d77776af5e1c292fdf1e251	https://d33wubrfki0l68.cloudfront.net/996c7e280baeb1cbffafb41f3a28dd4480f17bc6/21d12/img/portfolio/temp5.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/996c7e280baeb1cbffafb41f3a28dd4480f17bc6/21d12/img/portfolio/temp5.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:48	83186/83186	---M--	200	added ('OK')	image/jpeg	etag:%22ea898b148317d3eea710719bc3810d682d67328c-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp4.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp4.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:48	70914/70914	---M--	200	added ('OK')	image/jpeg	etag:%22996c7e280baeb1cbffafb41f3a28dd4480f17bc6-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp5.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp5.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:46:53	54514/54514	---M--	200	added ('OK')	image/jpeg	etag:%221b0a627e6ef98adc22b2adc78298aeaab92b1621-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp6.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp6.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:03	74480/74480	---M--	200	added ('OK')	image/jpeg	etag:ad4b099aa19f07b2a900f0091496832d699fcab3	https://d33wubrfki0l68.cloudfront.net/11801064883e8b0f42ca0db0c0065a60c24df326/8c969/img/portfolio/temp8.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/11801064883e8b0f42ca0db0c0065a60c24df326/8c969/img/portfolio/temp8.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:04	74480/74480	---M--	200	added ('OK')	image/jpeg	etag:%2211801064883e8b0f42ca0db0c0065a60c24df326-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp8.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp8.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:05	121748/121748	---M--	200	added ('OK')	image/jpeg	etag:e2a93282a51c9a04b1282d18b80b90bc703b5712	https://d33wubrfki0l68.cloudfront.net/43d58ea4c3d9a096fab0b9d8c75cf259e6b6303b/18a81/img/portfolio/temp7.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/43d58ea4c3d9a096fab0b9d8c75cf259e6b6303b/18a81/img/portfolio/temp7.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:06	121748/121748	---M--	200	added ('OK')	image/jpeg	etag:%2243d58ea4c3d9a096fab0b9d8c75cf259e6b6303b-ssl%22	http://nile-dark-blue.bitballoon.com/img/portfolio/temp7.jpg	C:/MyWebSites/MyProfile1/nile-dark-blue.bitballoon.com/img/portfolio/temp7.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:07	8116/8116	---M--	200	added ('OK')	image/jpeg	etag:378c340512e7e0c5b94aa910098a693ffe16e395	https://d33wubrfki0l68.cloudfront.net/8041c197bb078d65f4069b3cb9866e532e81ffc5/9f366/img/testimonial/01.jpg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/8041c197bb078d65f4069b3cb9866e532e81ffc5/9f366/img/testimonial/01.jpg	(from http://nile-dark-blue.bitballoon.com/)
16:47:08	86575/86575	---MCZ	200	added ('OK')	application/javascript	etag:1dd93ac3e1f97f5b6ac20e708383cc6e3e22a469-df	https://d33wubrfki0l68.cloudfront.net/js/701d455cb182c3bfa788673d99591c94b68dd544/js/jquery-3.2.1.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/701d455cb182c3bfa788673d99591c94b68dd544/js/jquery-3.2.1.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:09	31651/31651	---MCZ	200	added ('OK')	application/javascript	etag:ca21af2bb6ca69b8c347b36e57e8ddbceba97503-df	https://d33wubrfki0l68.cloudfront.net/js/377a79c183312179314900a9d6f6d4283291f676/js/vendor/bootstrap.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/377a79c183312179314900a9d6f6d4283291f676/js/vendor/bootstrap.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:09	4236/4236	---M-Z	200	added ('OK')	application/javascript	etag:c061671c8b81b4a020e30522fdfcbbfd10eaebd0-df	https://d33wubrfki0l68.cloudfront.net/js/ca3a6dde21853aa2b89e4cdd1d622124c94e5489/js/img-hover.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/ca3a6dde21853aa2b89e4cdd1d622124c94e5489/js/img-hover.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:09	9341/9341	---M-Z	200	added ('OK')	application/javascript	etag:b3adaf0f7f23944d02125d5202ccb792c1e2bf1e-df	https://d33wubrfki0l68.cloudfront.net/js/9b5fff43ed3a0e1e35c78c67c79d06e8c3f889ff/js/anime.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/9b5fff43ed3a0e1e35c78c67c79d06e8c3f889ff/js/anime.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:10	3663/3663	---M-Z	200	added ('OK')	application/javascript	etag:f46f00a7dabfb65ba46057c558835ef116e19db3-df	https://d33wubrfki0l68.cloudfront.net/bundles/cc565b3f54f5f30fd0d3fb0b1fc22ff2877bdbff.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/bundles/cc565b3f54f5f30fd0d3fb0b1fc22ff2877bdbff.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:11	5325/5325	---M-Z	200	added ('OK')	application/javascript	etag:068ede1a5f4c6fb3a41e0b06bf579c8564e37b1d-df	https://d33wubrfki0l68.cloudfront.net/js/0f84efd5b4c7949e783d4b5daf75e261b7c640a7/lib/imagesloaded/imagesloaded.pkgd.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/0f84efd5b4c7949e783d4b5daf75e261b7c640a7/lib/imagesloaded/imagesloaded.pkgd.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:11	35123/35123	---M-Z	200	added ('OK')	application/javascript	etag:b161eed034c61c8076e7b90caafc89cc01e807b4-df	https://d33wubrfki0l68.cloudfront.net/js/172c6633bfddde8dc5f7ebf7cd6da94299312ad7/js/libs/isotope.pkgd.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/172c6633bfddde8dc5f7ebf7cd6da94299312ad7/js/libs/isotope.pkgd.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:11	20088/20088	---MCZ	200	added ('OK')	application/javascript	etag:378c2a0d2dbaf4bb8cd8d837a2914e2cdc210bbe-df	https://d33wubrfki0l68.cloudfront.net/js/fc7275f61682fa1ea733c2987b43c46eda377256/js/jquery.magnific-popup.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/fc7275f61682fa1ea733c2987b43c46eda377256/js/jquery.magnific-popup.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:12	23837/23837	---MCZ	200	added ('OK')	application/javascript	etag:f159d20469f71f256807e000239776332150de41-df	https://d33wubrfki0l68.cloudfront.net/js/4c36aa2b768aa2f363b0239e29d5818a676ead00/assets/owl-carousel/js/owl.carousel.min.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/4c36aa2b768aa2f363b0239e29d5818a676ead00/assets/owl-carousel/js/owl.carousel.min.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:12	3695/3695	---M-Z	200	added ('OK')	application/javascript	etag:3ed4143f8df890f836918ce8084ec782853c9c8c-df	https://d33wubrfki0l68.cloudfront.net/js/aa77a638cc8d5f71e2dcae2d6a2863df9b6f0b38/js/easypiechart.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/aa77a638cc8d5f71e2dcae2d6a2863df9b6f0b38/js/easypiechart.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:12	1534/1534	---M-Z	200	added ('OK')	application/javascript	etag:f672a6d262ce1bae5dcecbeb91af60c2898bfdc0-df	https://d33wubrfki0l68.cloudfront.net/js/67dacbb92067d31e5f02d6bbe7135f5c107f8054/js/jquery.appear.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/67dacbb92067d31e5f02d6bbe7135f5c107f8054/js/jquery.appear.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:12	942/942	---M-Z	200	added ('OK')	application/javascript	etag:23c3d7ef63ff3634ff7d71059e269c115e8ea9a9-df	https://d33wubrfki0l68.cloudfront.net/js/ed9a0696d3a78a2c6e5952692ac3b51eff6a2b4c/js/classie.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/ed9a0696d3a78a2c6e5952692ac3b51eff6a2b4c/js/classie.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:13	5104/5104	---M-Z	200	added ('OK')	application/javascript	etag:600292dd0fba94b442f7eb74d505b132e1552820-df	https://d33wubrfki0l68.cloudfront.net/js/07d3f29bb69d96b9394aab91fd9802c308dd767a/js/custom.js	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/js/07d3f29bb69d96b9394aab91fd9802c308dd767a/js/custom.js	(from http://nile-dark-blue.bitballoon.com/)
16:47:14	79/79	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Feb%202018%2011:17:17%20GMT	https://d33wubrfki0l68.cloudfront.net/bundles/grabbing.png	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/bundles/grabbing.png	(from https://d33wubrfki0l68.cloudfront.net/bundles/d79eb085dd37237fb7f75315387b7bdb265c60e5.css)
16:47:16	79/79	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Feb%202018%2011:17:19%20GMT	https://d33wubrfki0l68.cloudfront.net/bundles/AjaxLoader.gif	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/bundles/AjaxLoader.gif	(from https://d33wubrfki0l68.cloudfront.net/bundles/d79eb085dd37237fb7f75315387b7bdb265c60e5.css)
16:47:16	162052/162052	---M--	200	added ('OK')	image/jpeg	etag:61d60e1f217d4f220a94606f1039b3e51a0dccc3	https://d33wubrfki0l68.cloudfront.net/img/4828673cb1c39bc31066c90c9eb43a87c254c1e4/home-bg.jpeg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/img/4828673cb1c39bc31066c90c9eb43a87c254c1e4/home-bg.jpg	(from https://d33wubrfki0l68.cloudfront.net/css/7b5011204e29d714dd097831052af796ac9dcbda/css/style.css)
16:47:18	128746/128746	---M--	200	added ('OK')	image/jpeg	etag:7ca4df37c424702b249875c8620761dcacfaeb64	https://d33wubrfki0l68.cloudfront.net/img/7c9a3890a094ff34e302116ff4f046ecf7a38f6d/contact-us.jpeg	C:/MyWebSites/MyProfile1/d33wubrfki0l68.cloudfront.net/img/7c9a3890a094ff34e302116ff4f046ecf7a38f6d/contact-us.jpg	(from https://d33wubrfki0l68.cloudfront.net/css/7b5011204e29d714dd097831052af796ac9dcbda/css/style.css)
